Num_Acc,catr,circ,nbv,prof,plan,larrout,surf,infra,situ,vma
202300000346,3,2,2.0,1,1,-1.0,1,0,1,50
202300000347,3,2,2.0,1,2,5.0,1,0,3,80
202300000348,3,2,2.0,1,1,7.0,1,0,1,80
202300000349,4,2,2.0,1,1,-1.0,1,0,1,50
202300000350,3,2,2.0,1,3,5.5,1,0,1,80
202300000351,4,1,1.0,1,1,-1.0,2,9,1,30
202300000352,3,2,2.0,1,1,-1.0,1,0,1,30
202300000353,4,2,2.0,1,1,-1.0,1,0,1,50
202300000354,3,2,2.0,3,1,5.5,1,0,1,80
202300000354,3,2,2.0,2,1,-1.0,1,0,1,80
202300000355,4,2,2.0,2,1,-1.0,2,0,1,50
202300000356,2,2,2.0,1,3,7.0,1,0,3,80
202300000357,2,2,2.0,1,1,-1.0,1,0,1,50
202300000358,4,2,2.0,1,1,-1.0,2,0,1,50
202300000359,1,1,4.0,1,1,-1.0,1,0,1,130
202300000360,4,2,2.0,1,1,-1.0,1,0,1,50
202300000360,4,2,-1.0,1,1,-1.0,1,0,1,-1
202300000361,4,2,2.0,1,1,-1.0,1,0,1,50
202300000362,3,2,2.0,1,1,5.5,1,0,1,50
202300000363,4,-1,1.0,2,1,-1.0,1,0,1,30
202300000364,3,2,2.0,1,1,-1.0,1,0,1,90
202300000365,4,2,2.0,1,1,-1.0,2,0,1,50
202300000366,4,-1,-1.0,1,1,-1.0,1,0,1,50
202300000366,4,2,2.0,1,1,-1.0,1,0,1,50
202300000367,4,1,2.0,1,1,-1.0,1,0,1,30
